library	Blue_Macia	Cyan_IS12646	Gold_RTx430	Green_Ajabsido	Orange_MotaMaradi	Purple_SRN39	max_allele	max_value	Genotype_sum
IPEN	0.9236507240017552	0.0695480473892058	0.0	0.006801228609039052	0.0	0.0	Blue	0.9236507240017552	4558
IPEP	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	402
IPEQ	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	465
IPER	0.9929411764705882	0.0	0.0	0.0	0.007058823529411765	0.0	Blue	0.9929411764705882	425
IPES	0.05933917734322319	0.0	0.0	0.0	0.9406608226567768	0.0	Orange	0.9406608226567768	1483
IPET	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5039
IPEU	0.9490854233452762	0.0	0.0	0.0	0.050914576654723744	0.0	Blue	0.9490854233452762	5303
IPEW	0.0007426661715558856	0.0	0.0	0.0	0.9992573338284441	0.0	Orange	0.9992573338284441	2693
IPEX	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	2688
IPEY	0.8621908127208481	0.12765017667844522	0.0	0.010159010600706713	0.0	0.0	Blue	0.8621908127208481	2264
IPEZ	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1905
IPFA	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	545
IPFB	0.9161490683229814	0.0	0.0	0.0	0.08385093167701864	0.0	Blue	0.9161490683229814	3220
IPFC	0.982040953340047	0.0	0.0	0.006545820745216516	0.011413225914736489	0.0	Blue	0.982040953340047	5958
IPFD	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	159
IPFE	0.9998031496062992	0.0	0.0	0.0	0.0001968503937007874	0.0	Blue	0.9998031496062992	5080
IPFF	0.9960474308300395	0.0	0.0	0.003952569169960474	0.0	0.0	Blue	0.9960474308300395	5819
IPFG	0.9958647968356706	0.0	0.0	0.004135203164329378	0.0	0.0	Blue	0.9958647968356706	5562
IPFH	0.9974942576738359	0.0	0.0	0.002505742326164126	0.0	0.0	Blue	0.9974942576738359	4789
IPFI	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5665
IPFJ	0.0044411547002220575	0.0	0.0	0.0	0.9955588452997779	0.0	Orange	0.9955588452997779	2702
IPFK	0.9959009089288897	0.0	0.0	0.004099091071110319	0.0	0.0	Blue	0.9959009089288897	5611
IPFM	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	2401
IPFN	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5110
IPFP	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5234
IPFQ	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5099
IQRC	0.9955984425258169	0.00016929067208396818	0.0	0.0030472320975114273	0.0011850347045877772	0.0	Blue	0.9955984425258169	5907
